date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:57:12	99518/99518	---M--	200	added ('OK')	image/jpeg	etag:%226473e94a-184be%22	https://ui-themez.smartinnovates.net/items/geekfolio/dark/assets/imgs/testim/1.jpg	C:/My%20Web%20Sites/teste/ui-themez.smartinnovates.net/items/geekfolio/dark/assets/imgs/testim/1.jpg	(from https://ui-themez.smartinnovates.net/items/geekfolio/dark/home-onepage.html)
12:57:12	253267/253267	---M--	200	added ('OK')	image/jpeg	etag:%226473e922-3dd53%22	https://ui-themez.smartinnovates.net/items/geekfolio/dark/assets/imgs/about/sq2.jpg	C:/My%20Web%20Sites/teste/ui-themez.smartinnovates.net/items/geekfolio/dark/assets/imgs/about/sq2.jpg	(from https://ui-themez.smartinnovates.net/items/geekfolio/dark/home-onepage.html)
12:57:12	77054/77054	---M--	200	added ('OK')	image/jpeg	etag:%226473e94a-12cfe%22	https://ui-themez.smartinnovates.net/items/geekfolio/dark/assets/imgs/testim/2.jpg	C:/My%20Web%20Sites/teste/ui-themez.smartinnovates.net/items/geekfolio/dark/assets/imgs/testim/2.jpg	(from https://ui-themez.smartinnovates.net/items/geekfolio/dark/home-onepage.html)
12:57:13	89427/89427	---M--	200	added ('OK')	image/jpeg	etag:%226473e94a-15d53%22	https://ui-themez.smartinnovates.net/items/geekfolio/dark/assets/imgs/testim/3.jpg	C:/My%20Web%20Sites/teste/ui-themez.smartinnovates.net/items/geekfolio/dark/assets/imgs/testim/3.jpg	(from https://ui-themez.smartinnovates.net/items/geekfolio/dark/home-onepage.html)
12:57:13	59233/59233	---M--	200	added ('OK')	image/jpeg	etag:%226473e94a-e761%22	https://ui-themez.smartinnovates.net/items/geekfolio/dark/assets/imgs/testim/4.jpg	C:/My%20Web%20Sites/teste/ui-themez.smartinnovates.net/items/geekfolio/dark/assets/imgs/testim/4.jpg	(from https://ui-themez.smartinnovates.net/items/geekfolio/dark/home-onepage.html)
12:57:13	31336/31336	---M--	200	added ('OK')	image/png	etag:%226473e92b-7a68%22	https://ui-themez.smartinnovates.net/items/geekfolio/dark/assets/imgs/brands/1.png	C:/My%20Web%20Sites/teste/ui-themez.smartinnovates.net/items/geekfolio/dark/assets/imgs/brands/1.png	(from https://ui-themez.smartinnovates.net/items/geekfolio/dark/home-onepage.html)
12:57:13	40572/40572	---M--	200	added ('OK')	image/png	etag:%226473e92b-9e7c%22	https://ui-themez.smartinnovates.net/items/geekfolio/dark/assets/imgs/brands/2.png	C:/My%20Web%20Sites/teste/ui-themez.smartinnovates.net/items/geekfolio/dark/assets/imgs/brands/2.png	(from https://ui-themez.smartinnovates.net/items/geekfolio/dark/home-onepage.html)
12:57:13	43189/43189	---M--	200	added ('OK')	image/png	etag:%226473e92b-a8b5%22	https://ui-themez.smartinnovates.net/items/geekfolio/dark/assets/imgs/brands/3.png	C:/My%20Web%20Sites/teste/ui-themez.smartinnovates.net/items/geekfolio/dark/assets/imgs/brands/3.png	(from https://ui-themez.smartinnovates.net/items/geekfolio/dark/home-onepage.html)
12:57:13	41551/41551	---M--	200	added ('OK')	image/png	etag:%226473e92b-a24f%22	https://ui-themez.smartinnovates.net/items/geekfolio/dark/assets/imgs/brands/4.png	C:/My%20Web%20Sites/teste/ui-themez.smartinnovates.net/items/geekfolio/dark/assets/imgs/brands/4.png	(from https://ui-themez.smartinnovates.net/items/geekfolio/dark/home-onepage.html)
12:57:14	41726/41726	---M--	200	added ('OK')	image/png	etag:%226473e92b-a2fe%22	https://ui-themez.smartinnovates.net/items/geekfolio/dark/assets/imgs/brands/5.png	C:/My%20Web%20Sites/teste/ui-themez.smartinnovates.net/items/geekfolio/dark/assets/imgs/brands/5.png	(from https://ui-themez.smartinnovates.net/items/geekfolio/dark/home-onepage.html)
12:57:14	11004/11004	---M--	200	added ('OK')	image/png	etag:%226473e933-2afc%22	https://ui-themez.smartinnovates.net/items/geekfolio/dark/assets/imgs/patterns/noise.png	C:/My%20Web%20Sites/teste/ui-themez.smartinnovates.net/items/geekfolio/dark/assets/imgs/patterns/noise.png	(from https://ui-themez.smartinnovates.net/items/geekfolio/dark/home-onepage.html)
12:57:14	16235/16235	---M--	200	added ('OK')	image/jpeg	etag:%226473e948-3f6b%22	https://ui-themez.smartinnovates.net/items/geekfolio/dark/assets/imgs/team/t1.jpg	C:/My%20Web%20Sites/teste/ui-themez.smartinnovates.net/items/geekfolio/dark/assets/imgs/team/t1.jpg	(from https://ui-themez.smartinnovates.net/items/geekfolio/dark/home-onepage.html)
12:57:15	174535/174535	---M--	200	added ('OK')	image/jpeg	etag:%226473e924-2a9c7%22	https://ui-themez.smartinnovates.net/items/geekfolio/dark/assets/imgs/background/13.jpg	C:/My%20Web%20Sites/teste/ui-themez.smartinnovates.net/items/geekfolio/dark/assets/imgs/background/13.jpg	(from https://ui-themez.smartinnovates.net/items/geekfolio/dark/home-onepage.html)
12:57:15	16369/16369	---M--	200	added ('OK')	image/jpeg	etag:%226473e948-3ff1%22	https://ui-themez.smartinnovates.net/items/geekfolio/dark/assets/imgs/team/t2.jpg	C:/My%20Web%20Sites/teste/ui-themez.smartinnovates.net/items/geekfolio/dark/assets/imgs/team/t2.jpg	(from https://ui-themez.smartinnovates.net/items/geekfolio/dark/home-onepage.html)
12:57:15	13347/13347	---M--	200	added ('OK')	image/jpeg	etag:%226473e949-3423%22	https://ui-themez.smartinnovates.net/items/geekfolio/dark/assets/imgs/team/t3.jpg	C:/My%20Web%20Sites/teste/ui-themez.smartinnovates.net/items/geekfolio/dark/assets/imgs/team/t3.jpg	(from https://ui-themez.smartinnovates.net/items/geekfolio/dark/home-onepage.html)
12:57:15	38699/38699	---M--	200	added ('OK')	image/jpeg	etag:%226473e949-972b%22	https://ui-themez.smartinnovates.net/items/geekfolio/dark/assets/imgs/team/t4.jpg	C:/My%20Web%20Sites/teste/ui-themez.smartinnovates.net/items/geekfolio/dark/assets/imgs/team/t4.jpg	(from https://ui-themez.smartinnovates.net/items/geekfolio/dark/home-onepage.html)
12:57:15	69170/69170	---M--	200	added ('OK')	image/jpeg	etag:%226473e927-10e32%22	https://ui-themez.smartinnovates.net/items/geekfolio/dark/assets/imgs/blog/author1.jpg	C:/My%20Web%20Sites/teste/ui-themez.smartinnovates.net/items/geekfolio/dark/assets/imgs/blog/author1.jpg	(from https://ui-themez.smartinnovates.net/items/geekfolio/dark/home-onepage.html)
12:57:16	59707/59707	---M--	200	added ('OK')	image/jpeg	etag:%226473e928-e93b%22	https://ui-themez.smartinnovates.net/items/geekfolio/dark/assets/imgs/blog/b1.jpg	C:/My%20Web%20Sites/teste/ui-themez.smartinnovates.net/items/geekfolio/dark/assets/imgs/blog/b1.jpg	(from https://ui-themez.smartinnovates.net/items/geekfolio/dark/home-onepage.html)
12:57:16	74055/74055	---M--	200	added ('OK')	image/jpeg	etag:%226473e928-12147%22	https://ui-themez.smartinnovates.net/items/geekfolio/dark/assets/imgs/blog/b2.jpg	C:/My%20Web%20Sites/teste/ui-themez.smartinnovates.net/items/geekfolio/dark/assets/imgs/blog/b2.jpg	(from https://ui-themez.smartinnovates.net/items/geekfolio/dark/home-onepage.html)
12:57:16	73611/73611	---M--	200	added ('OK')	image/jpeg	etag:%226473e928-11f8b%22	https://ui-themez.smartinnovates.net/items/geekfolio/dark/assets/imgs/blog/b3.jpg	C:/My%20Web%20Sites/teste/ui-themez.smartinnovates.net/items/geekfolio/dark/assets/imgs/blog/b3.jpg	(from https://ui-themez.smartinnovates.net/items/geekfolio/dark/home-onepage.html)
12:57:16	89501/89501	---MCZ	200	added ('OK')	application/javascript	etag:W/%226473e919-15d9d%22	https://ui-themez.smartinnovates.net/items/geekfolio/dark/assets/js/jquery-3.6.0.min.js	C:/My%20Web%20Sites/teste/ui-themez.smartinnovates.net/items/geekfolio/dark/assets/js/jquery-3.6.0.min.js	(from https://ui-themez.smartinnovates.net/items/geekfolio/dark/home-onepage.html)
